_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,study_id,session_id,__v,response,theword,block
683a46c1db21504418af55b0,1934,instructions,0,1936,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,,,
683a46c1db21504418af55b2,9487,html-button-response,4,21329,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,0,,
683a46c1db21504418af55b4,1046,instructions,1,2983,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,,,
683a46c1db21504418af55b6,862,html-button-response,2,3848,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,0,,
683a46c1db21504418af55b8,1710,html-button-response,5,23040,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,0,,
683a46c1db21504418af55ba,7990,html-button-response,3,11840,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,0,,
683a46c1db21504418af55bc,3589,html-button-response,6,26632,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,0,,
683a46c1db21504418af55be,10505,survey-multi-choice,7,37139,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,"{""Q0"":""color""}",red,practice_category
683a46c1db21504418af55c0,2192,html-button-response,8,39337,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,0,,
683a46c1db21504418af55c2,12568,survey-multi-choice,9,51907,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,"{""Q0"":""material""}",pottery,practice_category
683a46c1db21504418af55c4,911,html-button-response,10,52819,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,0,,
683a46c1db21504418af55c6,7502,survey-multi-choice,11,60322,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,"{""Q0"":""none of these""}",happiness,practice_category
683a46c1db21504418af55c8,959,html-button-response,12,61282,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,0,,
683a46c1db21504418af55ca,4808,survey-multi-choice,13,66091,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,"{""Q0"":""shape""}",square,practice_category
683a46c1db21504418af55cc,863,html-button-response,14,66955,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,0,,
683a46c1db21504418af55ce,2176,html-button-response,15,69132,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,0,,
683a46c1db21504418af55d0,9142,survey-multi-choice,16,78276,0,67a4e8df95c41323b386d85d,68377e39bf75633ec3225648,683a4600b0289aaa4eba353f,0,"{""Q0"":""none of these""}",goal,category_organization
