Word,block,response,totcount,theword,proportion
Banana,category_organization,Not applicable,29,바나나,0.034482758620689655
Banana,count_mass,Can be counted,32,바나나,0.90625
Banana,count_mass,I don't know/It's hard to say,32,바나나,0.09375
Banana,solidity,I don't know/It's hard to say,29,바나나,0.10344827586206896
Banana,solidity,Not a solid,29,바나나,0.10344827586206896
Banana,solidity,Solid,29,바나나,0.7931034482758621
Bathroom,category_organization,Form,29,화장실,0.6896551724137931
Bathroom,category_organization,"Form, Color",29,화장실,0.034482758620689655
Bathroom,category_organization,"Form, Color, Material",29,화장실,0.034482758620689655
Bathroom,category_organization,"Form, Material",29,화장실,0.10344827586206896
Bathroom,category_organization,Material,29,화장실,0.034482758620689655
Bathroom,category_organization,Not applicable,29,화장실,0.10344827586206896
Bathroom,count_mass,Can be counted,37,화장실,0.7567567567567568
Bathroom,count_mass,I don't know/It's hard to say,37,화장실,0.24324324324324326
Bathroom,solidity,I don't know/It's hard to say,30,화장실,0.3
Bathroom,solidity,Not a solid,30,화장실,0.1
Bathroom,solidity,Solid,30,화장실,0.6
Bathtub,category_organization,Form,29,목욕탕,0.6206896551724138
Bathtub,category_organization,"Form, Material",29,목욕탕,0.27586206896551724
Bathtub,category_organization,Material,29,목욕탕,0.06896551724137931
Bathtub,category_organization,Not applicable,29,목욕탕,0.034482758620689655
Bathtub,count_mass,Can be counted,38,목욕탕,0.6842105263157895
Bathtub,count_mass,Cannot be counted,38,목욕탕,0.05263157894736842
Bathtub,count_mass,I don't know/It's hard to say,38,목욕탕,0.2631578947368421
Bathtub,solidity,I don't know/It's hard to say,30,목욕탕,0.3333333333333333
Bathtub,solidity,Not a solid,30,목욕탕,0.03333333333333333
Bathtub,solidity,Solid,30,목욕탕,0.6333333333333333
Beans,category_organization,Color,29,콩,0.034482758620689655
Beans,category_organization,Form,29,콩,0.5517241379310345
Beans,category_organization,"Form, Color",29,콩,0.034482758620689655
Beans,category_organization,"Form, Color, Material",29,콩,0.06896551724137931
Beans,category_organization,"Form, Material",29,콩,0.20689655172413793
Beans,category_organization,Material,29,콩,0.06896551724137931
Beans,category_organization,Not applicable,29,콩,0.034482758620689655
Beans,count_mass,Can be counted,31,콩,0.8064516129032258
Beans,count_mass,Cannot be counted,31,콩,0.0967741935483871
Beans,count_mass,I don't know/It's hard to say,31,콩,0.0967741935483871
Beans,solidity,I don't know/It's hard to say,30,콩,0.1
Beans,solidity,Not a solid,30,콩,0.06666666666666667
Beans,solidity,Solid,30,콩,0.8333333333333334
Bear,category_organization,Form,29,곰,0.6551724137931034
Bear,category_organization,"Form, Color",29,곰,0.10344827586206896
Bear,category_organization,"Form, Color, Material",29,곰,0.10344827586206896
Bear,category_organization,"Form, Material",29,곰,0.10344827586206896
Bear,category_organization,Material,29,곰,0.034482758620689655
Bear,count_mass,Can be counted,36,곰,0.8055555555555556
Bear,count_mass,I don't know/It's hard to say,36,곰,0.19444444444444445
Bear,solidity,I don't know/It's hard to say,29,곰,0.2413793103448276
Bear,solidity,Not a solid,29,곰,0.10344827586206896
Bear,solidity,Solid,29,곰,0.6551724137931034
Bed,category_organization,Form,29,침대,0.6896551724137931
Bed,category_organization,"Form, Color",29,침대,0.034482758620689655
Bed,category_organization,"Form, Color, Material",29,침대,0.034482758620689655
Bed,category_organization,"Form, Material",29,침대,0.20689655172413793
Bed,category_organization,Material,29,침대,0.034482758620689655
Bed,count_mass,Can be counted,32,침대,0.90625
Bed,count_mass,I don't know/It's hard to say,32,침대,0.09375
Bed,solidity,I don't know/It's hard to say,29,침대,0.10344827586206896
Bed,solidity,Solid,29,침대,0.896551724137931
Bee,category_organization,Form,29,벌,0.6896551724137931
Bee,category_organization,"Form, Color",29,벌,0.034482758620689655
Bee,category_organization,"Form, Color, Material",29,벌,0.13793103448275862
Bee,category_organization,"Form, Material",29,벌,0.10344827586206896
Bee,category_organization,Material,29,벌,0.034482758620689655
Bee,count_mass,Can be counted,36,벌,0.6944444444444444
Bee,count_mass,Cannot be counted,36,벌,0.1111111111111111
Bee,count_mass,I don't know/It's hard to say,36,벌,0.19444444444444445
Bee,solidity,I don't know/It's hard to say,29,벌,0.2413793103448276
Bee,solidity,Not a solid,29,벌,0.10344827586206896
Bee,solidity,Solid,29,벌,0.6551724137931034
Belly Button,category_organization,Form,29,배꼽,0.7586206896551724
