Submission id,Participant id,Status,Age,Sex
SESS0831,P1224,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0834,P0952,APPROVED,45,Male
SESS0836,P1418,APPROVED,20,Male
SESS0837,P1218,APPROVED,48,Male
SESS0838,P0882,APPROVED,42,Female
SESS0839,P1376,APPROVED,38,Female
SESS0840,P1153,APPROVED,41,Female
SESS0842,P1423,APPROVED,77,Female
SESS0845,P0985,APPROVED,46,Female
SESS0848,P1299,APPROVED,50,Female
SESS0850,P1330,APPROVED,33,Male
SESS0853,P0749,APPROVED,56,Male
SESS0854,P0752,APPROVED,36,Male
SESS0855,P1313,APPROVED,61,Male
SESS0856,P0778,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0857,P1005,APPROVED,52,Male
SESS0858,P0687,APPROVED,54,Male
SESS0859,P1396,APPROVED,24,Male
SESS0860,P0551,APPROVED,28,Male
SESS0861,P1236,APPROVED,35,Male
SESS0862,P1110,APPROVED,22,Female
SESS0864,P1161,APPROVED,46,Male
SESS0866,P1407,APPROVED,44,Female
SESS0867,P0010,APPROVED,69,Male
SESS0868,P0700,APPROVED,71,Male
SESS0869,P0447,APPROVED,28,Female
SESS0870,P0951,APPROVED,33,Female
SESS0871,P1413,APPROVED,38,Male
SESS0872,P0168,APPROVED,40,Male
SESS0873,P1410,APPROVED,46,Female
SESS0874,P0500,APPROVED,23,Female
SESS0875,P0899,APPROVED,29,Male
SESS0876,P0535,APPROVED,20,Male
SESS0877,P0006,APPROVED,34,Male
SESS0878,P1437,APPROVED,19,Male
SESS0879,P0692,APPROVED,52,Female
SESS0880,P1132,APPROVED,43,Female
SESS0881,P0544,APPROVED,74,Male
SESS0882,P1406,APPROVED,52,Prefer not to say
SESS0883,P0455,APPROVED,52,Male
SESS0884,P0888,APPROVED,45,Male
SESS0885,P1454,APPROVED,22,Female
SESS0886,P0151,APPROVED,38,Male
SESS0887,P0367,APPROVED,54,Female
SESS0888,P1265,APPROVED,33,Male
SESS0889,P0836,APPROVED,59,Male
SESS0890,P0196,APPROVED,56,Male
SESS0891,P0895,APPROVED,25,Male
SESS0892,P1051,APPROVED,29,Female
SESS0893,P1044,APPROVED,40,Male
SESS0895,P1447,APPROVED,41,Female
SESS0896,P0745,APPROVED,65,Female
SESS0897,P0910,APPROVED,27,Female
SESS0898,P1277,APPROVED,39,Male
SESS0899,P1140,APPROVED,45,Male
SESS0900,P0349,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0901,P0731,APPROVED,29,Male
SESS0902,P0949,APPROVED,30,Female
SESS0903,P1205,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0904,P0926,APPROVED,66,Male
SESS0905,P1015,APPROVED,38,Female
SESS0906,P1111,APPROVED,35,Female
SESS0907,P1385,APPROVED,49,Female
SESS0908,P1228,APPROVED,25,Male
SESS0910,P0996,APPROVED,36,Male
SESS0911,P1262,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
SESS0913,P1178,APPROVED,60,Male
SESS0914,P1095,APPROVED,26,Male
SESS0915,P0739,APPROVED,40,Male
SESS0917,P1272,APPROVED,29,Female
SESS0918,P1449,APPROVED,28,Male
SESS0919,P1144,APPROVED,55,Female
SESS0920,P1314,APPROVED,29,Male
