subset,n_items,mean_eng,mean_kor,mean_diff,ci_low,ci_high,d_z
all shared items,245,0.32769489168411176,0.4251668059831325,0.09747191429902072,0.06183887346195016,0.13149609508874832,0.3551409177011585
one-to-one mapping only,239,0.33063330365572596,0.429796749043611,0.09916344538788502,0.06469830251197699,0.13428556040033432,0.36040276628002177
