effect,term,estimate,std.error,statistic,p.value,model
fixed,(Intercept),-1.0902991829980653,0.13711056076730138,-7.951970854006483,1.8356744730138053e-15,broad
fixed,formatMulti-select,0.8705077328676828,0.17270248384050735,5.040504997435974,4.6430500222731927e-7,broad
fixed,blockingBlocked,0.5120043912605766,0.178754775932059,2.864283701461375,0.004179534908803312,broad
fixed,formatMulti-select:blockingBlocked,0.09413478266640866,0.24848760820825527,0.378830893601403,0.7048134445056754,broad
fixed,(Intercept),-1.0480608991083027,0.12483914696883941,-8.395290456205256,4.647439331238514e-17,strict
fixed,formatMulti-select,-0.20731012362001341,0.15630779620392893,-1.3262942006395104,0.18474226705043442,strict
fixed,blockingBlocked,0.5124107362186946,0.16053744469456133,3.1918455983500156,0.0014136687935274613,strict
fixed,formatMulti-select:blockingBlocked,-0.8359335658034791,0.2258751638744526,-3.7008653428940645,2.148654815219559e-4,strict
fixed,(Intercept),-1.0063017942732937,0.125049879114997,-8.047203255173798,8.470743837339531e-16,fc_blocking
fixed,blockingBlocked,0.49137088350962266,0.16258857487842399,3.022173506822644,0.0025096665209390595,fc_blocking
fixed,(Intercept),-1.162524883999008,0.11403638101665962,-10.194333366552332,2.1018150435800527e-24,ms_strict
fixed,blockingBlocked,-0.3102629809887994,0.15047700448750326,-2.0618630869580206,0.039220772744082706,ms_strict
fixed,(Intercept),-1.9844298254499817,0.20448107523121098,-9.704711417455849,2.878898234678295e-22,multi_rate
fixed,blockingBlocked,1.1471891856639307,0.28865101234129004,3.9743120121385114,7.058298504029552e-5,multi_rate
fixed,(Intercept),-1.2918378971260063,0.11271885290550021,-11.460708336067267,2.07808231988205e-30,ms_block_x_score
fixed,blockingBlocked,-0.2657864566045515,0.1427607936067442,-1.8617608510688148,0.06263680701764307,ms_block_x_score
fixed,scoreBroad,1.087476637916338,0.07001791480276708,15.531405654961913,2.1266656042023932e-54,ms_block_x_score
fixed,blockingBlocked:scoreBroad,0.8394769883221509,0.10251320775414535,8.18896419996383,2.634838934387133e-16,ms_block_x_score
