uni_lemma,response_norm,block,eng1,eng2,kor1,kor2
clock,count,count_mass,0.8888888888888888,NA,1,NA
clock,solid,solidity,1,NA,1,NA
closet,count,count_mass,1,NA,1,0.9666666666666668
closet,solid,solidity,1,NA,1,0.9655172413793104
cloud,count,count_mass,0.25,NA,0.4,0.20833333333333337
coat,solid,solidity,0.7142857142857143,NA,0.3333333333333333,0.8620689655172413
coat,count,count_mass,1,NA,1,0.90625
coffee,solid,solidity,0.16666666666666666,NA,NA,0.11428571428571428
coffee,count,count_mass,0.16666666666666666,NA,0.3333333333333333,0.5151515151515151
coke,count,count_mass,0.25,NA,0.5,NA
comb (object),count,count_mass,1,NA,1,NA
comb (object),solid,solidity,1,NA,1,NA
corn,count,count_mass,0.8571428571428571,NA,1,0.90625
corn,solid,solidity,1,NA,1,0.7931034482758621
couch,count,count_mass,1,NA,0.9,NA
couch,solid,solidity,1,NA,1,NA
cow,count,count_mass,1,NA,1,0.8055555555555556
cow,solid,solidity,1,NA,0.8,0.6551724137931034
crayon,solid,solidity,1,NA,0.9285714285714286,0.9
crayon,count,count_mass,0.9090909090909092,NA,1,0.9
crocodile,count,count_mass,0.8,NA,1,0.7777777777777778
crocodile,solid,solidity,1,NA,1,0.6333333333333333
cup,count,count_mass,0.8571428571428571,NA,1,0.9666666666666668
cup,solid,solidity,1,NA,1,0.9655172413793104
deer,solid,solidity,0.8571428571428571,NA,1,0.6551724137931034
deer,count,count_mass,0.6666666666666666,NA,1,0.8055555555555556
diaper,count,count_mass,1,NA,1,0.7575757575757576
diaper,solid,solidity,0.8,NA,1,0.7931034482758621
dinosaur,solid,solidity,0.8333333333333334,NA,0.9,0.59375
dinosaur,count,count_mass,0.8333333333333334,NA,1,0.6666666666666666
dog,count,count_mass,1,NA,0.9,0.8055555555555556
dog,solid,solidity,0.8571428571428571,NA,0.875,0.6551724137931034
doll,count,count_mass,1,NA,1,0.9333333333333332
doll,solid,solidity,0.9,NA,1,0.9333333333333332
donut,solid,solidity,1,NA,0.8333333333333334,0.7586206896551724
donut,count,count_mass,1,NA,1,0.8787878787878788
door,count,count_mass,0.75,NA,1,0.9333333333333332
door,solid,solidity,1,NA,1,0.9333333333333332
drawer,count,count_mass,1,NA,0.875,0.8666666666666667
drawer,solid,solidity,1,NA,1,0.9
dress (object),solid,solidity,0.8571428571428571,NA,0.7142857142857143,NA
dress (object),count,count_mass,0.9,NA,1,NA
dress shoe,count,count_mass,0.8571428571428571,NA,1,NA
dress shoe,solid,solidity,1,NA,0.8333333333333334,NA
dried seaweed,solid,solidity,0.5,NA,1,NA
dried seaweed,count,count_mass,0.375,NA,0.8571428571428571,NA
duck,solid,solidity,1,NA,1,0.6551724137931034
duck,count,count_mass,1,NA,1,0.8055555555555556
ear,count,count_mass,0.6666666666666666,NA,1,0.8235294117647058
ear,solid,solidity,1,NA,0.8888888888888888,0.7
egg,count,count_mass,0.8571428571428571,NA,1,0.8285714285714286
egg,solid,solidity,0.625,NA,0.6666666666666666,0.6551724137931034
elephant,count,count_mass,0.9,NA,1,0.8055555555555556
elephant,solid,solidity,1,NA,0.9090909090909092,0.6551724137931034
eye,count,count_mass,0.7777777777777778,NA,0.5,0.7567567567567568
eye,solid,solidity,0.42857142857142855,NA,0.2,0.6
face,solid,solidity,0.6,NA,0.8571428571428571,0.6333333333333333
face,count,count_mass,0.625,NA,1,0.7777777777777778
finger,count,count_mass,1,NA,1,0.8285714285714286
finger,solid,solidity,0.7142857142857143,NA,1,0.6896551724137931
fingernail,solid,solidity,0.8571428571428571,NA,1,NA
fingernail,count,count_mass,1,NA,0.6,NA
