uni_lemma,response_norm,block,proportion,sample
face,shape,category_organization,0.5,eng1
face,count,count_mass,0.625,eng1
finger,shape,category_organization,0.3404255319148936,eng1
finger,count,count_mass,1,eng1
finger,solid,solidity,0.7142857142857143,eng1
fingernail,solid,solidity,0.8571428571428571,eng1
fingernail,shape,category_organization,0.375,eng1
fingernail,count,count_mass,1,eng1
fire,solid,solidity,0.25,eng1
fire,count,count_mass,0.3333333333333333,eng1
firetruck,solid,solidity,1,eng1
firetruck,shape,category_organization,0.38461538461538464,eng1
firetruck,count,count_mass,0.9090909090909092,eng1
fish (animal),shape,category_organization,0.2,eng1
fish (animal),count,count_mass,0.9,eng1
fish (animal),solid,solidity,1,eng1
fish (food),solid,solidity,1,eng1
fish (food),shape,category_organization,0.4444444444444444,eng1
fish (food),count,count_mass,0.6,eng1
flower,solid,solidity,0.7142857142857143,eng1
flower,count,count_mass,0.7777777777777778,eng1
flower,shape,category_organization,0.2,eng1
food,count,count_mass,0.2222222222222222,eng1
food,solid,solidity,0.5,eng1
foot,solid,solidity,1,eng1
foot,shape,category_organization,0.5454545454545454,eng1
foot,count,count_mass,1,eng1
fork,shape,category_organization,0.8,eng1
fork,count,count_mass,1,eng1
fork,solid,solidity,1,eng1
fox,shape,category_organization,0.3333333333333333,eng1
fox,count,count_mass,0.8571428571428571,eng1
fox,solid,solidity,0.8333333333333334,eng1
frog,solid,solidity,1,eng1
frog,shape,category_organization,0.4,eng1
frog,count,count_mass,0.8,eng1
fruit,shape,category_organization,0.1111111111111111,eng1
fruit,count,count_mass,0.75,eng1
fruit,solid,solidity,1,eng1
giraffe,shape,category_organization,0.25,eng1
giraffe,solid,solidity,0.8571428571428571,eng1
giraffe,count,count_mass,0.8571428571428571,eng1
glass,count,count_mass,0.2857142857142857,eng1
glass,solid,solidity,0.8571428571428571,eng1
glasses,count,count_mass,0.8333333333333334,eng1
glasses,shape,category_organization,0.3636363636363637,eng1
glasses,solid,solidity,1,eng1
glove,solid,solidity,0.8571428571428571,eng1
glove,shape,category_organization,0.6,eng1
glove,count,count_mass,1,eng1
glue (object),count,count_mass,0.3333333333333333,eng1
glue (object),solid,solidity,0.14285714285714285,eng1
goat,shape,category_organization,0.2,eng1
goat,count,count_mass,0.8333333333333334,eng1
goat,solid,solidity,1,eng1
grapes,solid,solidity,0.42857142857142855,eng1
grapes,shape,category_organization,0.16666666666666666,eng1
grapes,count,count_mass,0.5555555555555556,eng1
grass,solid,solidity,0.42857142857142855,eng1
ground,solid,solidity,0.8333333333333334,eng1
ground,count,count_mass,0.5714285714285714,eng1
gum,solid,solidity,0.5,eng1
gum,count,count_mass,0.3333333333333333,eng1
gum,shape,category_organization,0.1111111111111111,eng1
gun,solid,solidity,1,eng1
gun,shape,category_organization,0.3076923076923077,eng1
gun,count,count_mass,1,eng1
hair,count,count_mass,0.42857142857142855,eng1
hair,solid,solidity,0.5,eng1
hamburger,shape,category_organization,0.1111111111111111,eng1
hamburger,count,count_mass,0.8571428571428571,eng1
