Word,block,response,totcount,theword,proportion,uni_lemma,language,eng_response,matching_response,cleaned_response
Back,count_mass,Cannot be counted,29,등,0.1724137931034483,Back,Korean,Cannot be counted,mass,cannot be counted
Back,count_mass,I don't know/It's hard to say,29,등,0.10344827586206896,Back,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Back,solidity,I don't know/It's hard to say,29,등,0.2413793103448276,Back,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Back,solidity,Not a solid,29,등,0.10344827586206896,Back,Korean,Not a solid,non-solid,not a solid
Back,solidity,Solid,29,등,0.6551724137931034,Back,Korean,Solid,solid,solid
Bag,category_organization,Form,29,가방,0.6551724137931034,Bag,Korean,Form,shape,form
Bag,category_organization,"Form, Color",29,가방,0.03448275862068965,Bag,Korean,"Form, Color",multiple,form color
Bag,category_organization,"Form, Color, Material",29,가방,0.13793103448275862,Bag,Korean,"Form, Color, Material",multiple,form color material
Bag,category_organization,"Form, Material",29,가방,0.13793103448275862,Bag,Korean,"Form, Material",multiple,form material
Bag,category_organization,Material,29,가방,0.03448275862068965,Bag,Korean,Material,material,material
Bag,count_mass,Can be counted,29,가방,1,Bag,Korean,Can be counted,count,can be counted
Bag,solidity,I don't know/It's hard to say,29,가방,0.034482758620689655,Bag,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bag,solidity,Solid,29,가방,0.9655172413793104,Bag,Korean,Solid,solid,solid
Ball,category_organization,Color,29,공,0.03448275862068965,Ball,Korean,Color,color,color
Ball,category_organization,Form,29,공,0.6206896551724138,Ball,Korean,Form,shape,form
Ball,category_organization,"Form, Color, Material",29,공,0.06896551724137931,Ball,Korean,"Form, Color, Material",multiple,form color material
Ball,category_organization,"Form, Material",29,공,0.20689655172413793,Ball,Korean,"Form, Material",multiple,form material
Ball,category_organization,Material,29,공,0.06896551724137931,Ball,Korean,Material,material,material
Ball,count_mass,Can be counted,29,공,0.9655172413793104,Ball,Korean,Can be counted,count,can be counted
Ball,count_mass,I don't know/It's hard to say,29,공,0.034482758620689655,Ball,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Ball,solidity,I don't know/It's hard to say,29,공,0.06896551724137931,Ball,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Ball,solidity,Solid,29,공,0.9310344827586207,Ball,Korean,Solid,solid,solid
Balloon,category_organization,Color,29,풍선,0.03448275862068965,Balloon,Korean,Color,color,color
Balloon,category_organization,Form,29,풍선,0.3793103448275862,Balloon,Korean,Form,shape,form
Balloon,category_organization,"Form, Color",29,풍선,0.03448275862068965,Balloon,Korean,"Form, Color",multiple,form color
Balloon,category_organization,"Form, Color, Material",29,풍선,0.13793103448275862,Balloon,Korean,"Form, Color, Material",multiple,form color material
Balloon,category_organization,"Form, Material",29,풍선,0.3103448275862069,Balloon,Korean,"Form, Material",multiple,form material
Balloon,category_organization,Material,29,풍선,0.10344827586206896,Balloon,Korean,Material,material,material
Balloon,count_mass,Can be counted,29,풍선,0.9310344827586207,Balloon,Korean,Can be counted,count,can be counted
Balloon,count_mass,Cannot be counted,29,풍선,0.034482758620689655,Balloon,Korean,Cannot be counted,mass,cannot be counted
Balloon,count_mass,I don't know/It's hard to say,29,풍선,0.034482758620689655,Balloon,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Balloon,solidity,I don't know/It's hard to say,29,풍선,0.1724137931034483,Balloon,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Balloon,solidity,Not a solid,29,풍선,0.10344827586206896,Balloon,Korean,Not a solid,non-solid,not a solid
Balloon,solidity,Solid,29,풍선,0.7241379310344828,Balloon,Korean,Solid,solid,solid
Banana,category_organization,Color,29,바나나,0.03448275862068965,Banana,Korean,Color,color,color
Banana,category_organization,"Color, Material",29,바나나,0.03448275862068965,Banana,Korean,"Color, Material",multiple,color material
Banana,category_organization,Form,29,바나나,0.4827586206896552,Banana,Korean,Form,shape,form
Banana,category_organization,"Form, Color",29,바나나,0.10344827586206896,Banana,Korean,"Form, Color",multiple,form color
Banana,category_organization,"Form, Color, Material",29,바나나,0.20689655172413793,Banana,Korean,"Form, Color, Material",multiple,form color material
Banana,category_organization,"Form, Material",29,바나나,0.03448275862068965,Banana,Korean,"Form, Material",multiple,form material
Banana,category_organization,Material,29,바나나,0.06896551724137931,Banana,Korean,Material,material,material
Banana,category_organization,Not applicable,29,바나나,0.03448275862068965,Banana,Korean,Not applicable,none of these,not applicable
Banana,count_mass,Can be counted,29,바나나,1,Banana,Korean,Can be counted,count,can be counted
Banana,solidity,I don't know/It's hard to say,29,바나나,0.10344827586206896,Banana,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Banana,solidity,Not a solid,29,바나나,0.10344827586206896,Banana,Korean,Not a solid,non-solid,not a solid
Banana,solidity,Solid,29,바나나,0.7931034482758621,Banana,Korean,Solid,solid,solid
Bathroom,category_organization,Form,29,화장실,0.6896551724137931,Bathroom,Korean,Form,shape,form
Bathroom,category_organization,"Form, Color",29,화장실,0.03448275862068965,Bathroom,Korean,"Form, Color",multiple,form color
Bathroom,category_organization,"Form, Color, Material",29,화장실,0.03448275862068965,Bathroom,Korean,"Form, Color, Material",multiple,form color material
Bathroom,category_organization,"Form, Material",29,화장실,0.10344827586206896,Bathroom,Korean,"Form, Material",multiple,form material
Bathroom,category_organization,Material,29,화장실,0.03448275862068965,Bathroom,Korean,Material,material,material
Bathroom,category_organization,Not applicable,29,화장실,0.10344827586206896,Bathroom,Korean,Not applicable,none of these,not applicable
Bathroom,count_mass,Can be counted,29,화장실,0.9655172413793104,Bathroom,Korean,Can be counted,count,can be counted
Bathroom,count_mass,I don't know/It's hard to say,29,화장실,0.034482758620689655,Bathroom,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bathroom,solidity,I don't know/It's hard to say,29,화장실,0.27586206896551724,Bathroom,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bathroom,solidity,Not a solid,29,화장실,0.10344827586206896,Bathroom,Korean,Not a solid,non-solid,not a solid
Bathroom,solidity,Solid,29,화장실,0.6206896551724138,Bathroom,Korean,Solid,solid,solid
Bathtub,category_organization,Form,29,목욕탕,0.6206896551724138,Bathtub,Korean,Form,shape,form
Bathtub,category_organization,"Form, Material",29,목욕탕,0.27586206896551724,Bathtub,Korean,"Form, Material",multiple,form material
Bathtub,category_organization,Material,29,목욕탕,0.06896551724137931,Bathtub,Korean,Material,material,material
Bathtub,category_organization,Not applicable,29,목욕탕,0.03448275862068965,Bathtub,Korean,Not applicable,none of these,not applicable
Bathtub,count_mass,Can be counted,29,목욕탕,0.896551724137931,Bathtub,Korean,Can be counted,count,can be counted
Bathtub,count_mass,Cannot be counted,29,목욕탕,0.06896551724137931,Bathtub,Korean,Cannot be counted,mass,cannot be counted
Bathtub,count_mass,I don't know/It's hard to say,29,목욕탕,0.034482758620689655,Bathtub,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bathtub,solidity,I don't know/It's hard to say,29,목욕탕,0.3103448275862069,Bathtub,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bathtub,solidity,Not a solid,29,목욕탕,0.034482758620689655,Bathtub,Korean,Not a solid,non-solid,not a solid
Bathtub,solidity,Solid,29,목욕탕,0.6551724137931034,Bathtub,Korean,Solid,solid,solid
Beans,category_organization,Color,29,콩,0.03448275862068965,Beans,Korean,Color,color,color
Beans,category_organization,Form,29,콩,0.5517241379310345,Beans,Korean,Form,shape,form
Beans,category_organization,"Form, Color",29,콩,0.03448275862068965,Beans,Korean,"Form, Color",multiple,form color
Beans,category_organization,"Form, Color, Material",29,콩,0.06896551724137931,Beans,Korean,"Form, Color, Material",multiple,form color material
Beans,category_organization,"Form, Material",29,콩,0.20689655172413793,Beans,Korean,"Form, Material",multiple,form material
Beans,category_organization,Material,29,콩,0.06896551724137931,Beans,Korean,Material,material,material
Beans,category_organization,Not applicable,29,콩,0.03448275862068965,Beans,Korean,Not applicable,none of these,not applicable
Beans,count_mass,Can be counted,29,콩,0.8620689655172413,Beans,Korean,Can be counted,count,can be counted
Beans,count_mass,Cannot be counted,29,콩,0.10344827586206896,Beans,Korean,Cannot be counted,mass,cannot be counted
Beans,count_mass,I don't know/It's hard to say,29,콩,0.034482758620689655,Beans,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Beans,solidity,I don't know/It's hard to say,29,콩,0.06896551724137931,Beans,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Beans,solidity,Not a solid,29,콩,0.06896551724137931,Beans,Korean,Not a solid,non-solid,not a solid
Beans,solidity,Solid,29,콩,0.8620689655172413,Beans,Korean,Solid,solid,solid
Bear,category_organization,Form,29,곰,0.6551724137931034,Bear,Korean,Form,shape,form
Bear,category_organization,"Form, Color",29,곰,0.10344827586206896,Bear,Korean,"Form, Color",multiple,form color
Bear,category_organization,"Form, Color, Material",29,곰,0.10344827586206896,Bear,Korean,"Form, Color, Material",multiple,form color material
Bear,category_organization,"Form, Material",29,곰,0.10344827586206896,Bear,Korean,"Form, Material",multiple,form material
Bear,category_organization,Material,29,곰,0.03448275862068965,Bear,Korean,Material,material,material
Bear,count_mass,Can be counted,29,곰,1,Bear,Korean,Can be counted,count,can be counted
Bear,solidity,I don't know/It's hard to say,29,곰,0.2413793103448276,Bear,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bear,solidity,Not a solid,29,곰,0.10344827586206896,Bear,Korean,Not a solid,non-solid,not a solid
Bear,solidity,Solid,29,곰,0.6551724137931034,Bear,Korean,Solid,solid,solid
Bed,category_organization,Form,29,침대,0.6896551724137931,Bed,Korean,Form,shape,form
Bed,category_organization,"Form, Color",29,침대,0.03448275862068965,Bed,Korean,"Form, Color",multiple,form color
Bed,category_organization,"Form, Color, Material",29,침대,0.03448275862068965,Bed,Korean,"Form, Color, Material",multiple,form color material
Bed,category_organization,"Form, Material",29,침대,0.20689655172413793,Bed,Korean,"Form, Material",multiple,form material
Bed,category_organization,Material,29,침대,0.03448275862068965,Bed,Korean,Material,material,material
Bed,count_mass,Can be counted,29,침대,1,Bed,Korean,Can be counted,count,can be counted
Bed,solidity,I don't know/It's hard to say,29,침대,0.10344827586206896,Bed,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Bed,solidity,Solid,29,침대,0.896551724137931,Bed,Korean,Solid,solid,solid
Bee,category_organization,Form,29,벌,0.6896551724137931,Bee,Korean,Form,shape,form
Bee,category_organization,"Form, Color",29,벌,0.03448275862068965,Bee,Korean,"Form, Color",multiple,form color
Bee,category_organization,"Form, Color, Material",29,벌,0.13793103448275862,Bee,Korean,"Form, Color, Material",multiple,form color material
Bee,category_organization,"Form, Material",29,벌,0.10344827586206896,Bee,Korean,"Form, Material",multiple,form material
Bee,category_organization,Material,29,벌,0.03448275862068965,Bee,Korean,Material,material,material
Bee,count_mass,Can be counted,29,벌,0.8620689655172413,Bee,Korean,Can be counted,count,can be counted
