format,blocking,pct_multi,mean_n_sel,rate_shape,rate_strict,rate_material,rate_color,rate_none
Forced choice,Random,0,1,0.32321955330804886,0.32321955330804886,0.2996207332490518,0.10535187526337969,0.2718078381795196
Forced choice,Blocked,0,1,0.4066371681415929,0.4066371681415929,0.25265486725663716,0.13805309734513274,0.20265486725663717
Multi-select,Random,21.37611132586007,1.2493235407808272,0.46733668341708545,0.2868187089292617,0.36335523772709705,0.18670274449168922,0.23192887514495555
Multi-select,Blocked,36.99152542372882,1.4703389830508475,0.5627118644067797,0.24025423728813558,0.3961864406779661,0.3453389830508475,0.16610169491525423
