word,_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,study_id,session_id,__v,response,theword,block,uni_lemma,response_numeric,totcount,count,.groups,shape_rating,language,eng_response
air conditioner,683a48addb21504418af5f68,2713,survey-multi-choice,33,156550,0,63d02dee38fd6b72c29754fb,68377e39bf75633ec3225648,683a47edfebabff99b7c9433,0,shape,air conditioner,category_organization,air conditioner,0,8,1,drop,0.125,Cantonese,shape
air conditioner,683a48addb21504418af5f68,2713,survey-multi-choice,33,156550,0,63d02dee38fd6b72c29754fb,68377e39bf75633ec3225648,683a47edfebabff99b7c9433,0,shape,air conditioner,category_organization,air conditioner,0,8,1,drop,0.125,Mandarin (Taiwanese),shape
air conditioner,683a48addb21504418af5f68,2713,survey-multi-choice,33,156550,0,63d02dee38fd6b72c29754fb,68377e39bf75633ec3225648,683a47edfebabff99b7c9433,0,shape,air conditioner,category_organization,air conditioner,0,8,1,drop,0.125,Mandarin (Beijing),shape
airplane,67dfafe8aac2aea29b28719a,3051,survey-multi-choice,26,125675,0,628f93dc168e3004adcbebb8,67ddb44d013654f31f2c3dff,67dfaf2b3482feafaee3dcfa,0,shape,airplane,category_organization,airplane,0,8,4,drop,0.5,Korean,shape
airplane,67dfafe8aac2aea29b28719a,3051,survey-multi-choice,26,125675,0,628f93dc168e3004adcbebb8,67ddb44d013654f31f2c3dff,67dfaf2b3482feafaee3dcfa,0,shape,airplane,category_organization,airplane,0,8,4,drop,0.5,Spanish (Mexican),shape
airplane,67dfafe8aac2aea29b28719a,3051,survey-multi-choice,26,125675,0,628f93dc168e3004adcbebb8,67ddb44d013654f31f2c3dff,67dfaf2b3482feafaee3dcfa,0,shape,airplane,category_organization,airplane,0,8,4,drop,0.5,Spanish (European),shape
airplane,67dfafe8aac2aea29b28719a,3051,survey-multi-choice,26,125675,0,628f93dc168e3004adcbebb8,67ddb44d013654f31f2c3dff,67dfaf2b3482feafaee3dcfa,0,shape,airplane,category_organization,airplane,0,8,4,drop,0.5,Russian,shape
airplane,67dfafe8aac2aea29b28719a,3051,survey-multi-choice,26,125675,0,628f93dc168e3004adcbebb8,67ddb44d013654f31f2c3dff,67dfaf2b3482feafaee3dcfa,0,shape,airplane,category_organization,airplane,0,8,4,drop,0.5,Cantonese,shape
airplane,67dfafe8aac2aea29b28719a,3051,survey-multi-choice,26,125675,0,628f93dc168e3004adcbebb8,67ddb44d013654f31f2c3dff,67dfaf2b3482feafaee3dcfa,0,shape,airplane,category_organization,airplane,0,8,4,drop,0.5,Kiswahili,shape
airplane,67dfafe8aac2aea29b28719a,3051,survey-multi-choice,26,125675,0,628f93dc168e3004adcbebb8,67ddb44d013654f31f2c3dff,67dfaf2b3482feafaee3dcfa,0,shape,airplane,category_organization,airplane,0,8,4,drop,0.5,Mandarin (Taiwanese),shape
