stat,n_items_all,n_items_with_id,mean_all,mean_with_id,mean_diff,item_cor,max_abs_diff
shape,665,665,0.29189444973822826,0.3105930952923434,0.018698645554115156,0.9349996932492929,0.4166666666666667
solid,662,662,0.7185318751406365,0.7185318751406365,0,1,0
count,664,664,0.6783282020857322,0.6783282020857322,0,1,0
