sample,strict,broad,delta,lo,hi,n_words
"Study 2A (Korean, in-country)",0.5830918366336704,0.8756389231863704,0.2925470865527,0.281351964291018,0.3039003529104772,258
English multi (random),0.24201981463726432,0.326206455736657,0.0841866410993927,0.07266147331415783,0.09608013742409724,745
English multi (blocked),0.223433774116627,0.5689970373581904,0.3455632632415634,0.3167925789435653,0.3766837379868489,659
"2x2: multi-select, random",0.28961301501732767,0.4688807598511102,0.17926774483378255,0.1632075471698112,0.19648071492748054,742
"2x2: multi-select, blocked",0.24436107321509784,0.5648606509452347,0.32049957773013693,0.2991198921587734,0.3437754986032613,733
