subject,response_format,word_order,condition_code,n_cat_trials,median_rt_ms,mean_rt_ms,min_rt_ms,frac_under_1s,lavender_trials,att_pass,flag_explicit_id,flag_no_attention,flag_fast,reject_reasons,decision
P1601,forced_choice,semantic_blocked,fc_blocked,20,8877.5,9549,3711,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1602,multi_select,semantic_blocked,ms_blocked,20,4708,4968,2231,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1603,forced_choice,semantic_blocked,fc_blocked,20,6705.5,7273,3741,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1604,multi_select,semantic_blocked,ms_blocked,20,7649.5,8438,3566,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1605,forced_choice,random,fc_random,20,6909,8349,3047,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1606,forced_choice,semantic_blocked,fc_blocked,20,2688.5,3516,1559,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1607,forced_choice,semantic_blocked,fc_blocked,20,3518,3973,1967,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1610,forced_choice,random,fc_random,20,3967.5,4559,2082,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1611,forced_choice,semantic_blocked,fc_blocked,20,3516.5,5289,1618,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1612,multi_select,semantic_blocked,ms_blocked,20,5032,5372,2248,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1615,multi_select,random,ms_random,20,5618,6115,2211,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1616,multi_select,random,ms_random,20,5289.5,7395,2935,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1618,forced_choice,semantic_blocked,fc_blocked,20,5181.5,6918,2956,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1619,forced_choice,random,fc_random,20,4223.5,5370,2199,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1620,forced_choice,semantic_blocked,fc_blocked,20,3631,3939,2480,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1621,multi_select,random,ms_random,20,3582.5,5163,1823,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1622,multi_select,semantic_blocked,ms_blocked,20,3700.5,3932,1930,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1624,forced_choice,semantic_blocked,fc_blocked,20,6375,7027,4239,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1625,forced_choice,random,fc_random,20,6873,7049,4000,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1626,forced_choice,semantic_blocked,fc_blocked,20,5107.5,5977,2271,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1627,multi_select,semantic_blocked,ms_blocked,20,4157.5,4488,3304,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1630,multi_select,semantic_blocked,ms_blocked,20,4998.5,5601,2684,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1632,forced_choice,random,fc_random,20,7523,9747,4541,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1633,multi_select,semantic_blocked,ms_blocked,20,5752,5864,3877,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1638,multi_select,semantic_blocked,ms_blocked,20,4432.5,5746,2669,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1641,multi_select,random,ms_random,20,8912.5,8417,3536,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1642,forced_choice,random,fc_random,20,4222.5,5134,2218,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1644,forced_choice,random,fc_random,20,2227,2860,1263,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1645,forced_choice,semantic_blocked,fc_blocked,20,5256,5866,3082,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1646,forced_choice,random,fc_random,20,5151,6681,4094,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1648,forced_choice,random,fc_random,20,2982.5,3594,1620,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1649,multi_select,random,ms_random,20,3665.5,4056,2408,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1650,forced_choice,random,fc_random,20,4934,6255,2521,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1651,multi_select,random,ms_random,20,4200,5840,2606,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1652,multi_select,random,ms_random,20,3975.5,6083,2399,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1653,multi_select,semantic_blocked,ms_blocked,20,8445,9607,4350,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1654,multi_select,random,ms_random,20,6310.5,6880,3486,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1656,forced_choice,semantic_blocked,fc_blocked,20,4507.5,5358,3353,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1657,forced_choice,semantic_blocked,fc_blocked,20,3429.5,3728,1437,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1661,forced_choice,semantic_blocked,fc_blocked,20,34735.5,33694,26622,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1665,forced_choice,semantic_blocked,fc_blocked,20,4490.5,4700,3100,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1667,forced_choice,random,fc_random,20,3323,4501,1732,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1671,forced_choice,random,fc_random,13,4024,4776,2437,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1674,multi_select,semantic_blocked,ms_blocked,20,5660,5852,3234,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1680,multi_select,random,ms_random,20,6962,11881,3397,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1684,forced_choice,random,fc_random,20,5507.5,6221,2721,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1685,multi_select,semantic_blocked,ms_blocked,20,3327.5,4383,1724,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1686,forced_choice,semantic_blocked,fc_blocked,20,2480.5,2673,1636,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1687,multi_select,random,ms_random,20,5577.5,6265,4075,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1688,multi_select,semantic_blocked,ms_blocked,20,16833,16698,8118,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1689,forced_choice,random,fc_random,20,3321.5,3895,1533,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1691,forced_choice,semantic_blocked,fc_blocked,20,5926,7525,2747,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1692,multi_select,semantic_blocked,ms_blocked,20,4115,5779,2319,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1694,forced_choice,semantic_blocked,fc_blocked,20,3189,4123,1900,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1696,multi_select,semantic_blocked,ms_blocked,20,4824.5,5380,3181,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1698,multi_select,random,ms_random,20,3102.5,3714,1037,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1700,multi_select,random,ms_random,20,4014.5,5496,2790,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1703,forced_choice,random,fc_random,20,3941,4805,2467,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1705,multi_select,random,ms_random,20,10373.5,16925,3385,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1707,multi_select,semantic_blocked,ms_blocked,20,3847,4470,1825,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1708,multi_select,semantic_blocked,ms_blocked,20,7881,13211,4475,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1709,multi_select,semantic_blocked,ms_blocked,20,3963.5,4753,2713,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1710,forced_choice,random,fc_random,20,4237.5,5133,2875,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1711,forced_choice,semantic_blocked,fc_blocked,20,3391.5,3992,2165,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1714,forced_choice,random,fc_random,20,4327,5109,2606,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1715,forced_choice,semantic_blocked,fc_blocked,20,3609.5,4217,1953,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1718,forced_choice,random,fc_random,20,4368.5,4594,2035,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1719,multi_select,semantic_blocked,ms_blocked,20,8298,15046,4453,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1722,multi_select,semantic_blocked,ms_blocked,20,7138.5,7511,4398,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1723,multi_select,semantic_blocked,ms_blocked,20,5446.5,5633,3444,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1728,multi_select,semantic_blocked,ms_blocked,20,4108.5,4930,2620,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1729,multi_select,random,ms_random,20,7987.5,7580,3101,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1731,multi_select,random,ms_random,20,8789,18748,4299,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1736,multi_select,semantic_blocked,ms_blocked,20,4619.5,5639,1714,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1737,multi_select,semantic_blocked,ms_blocked,20,4849,10682,3325,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1738,multi_select,semantic_blocked,ms_blocked,20,3158,3357,1703,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1740,multi_select,semantic_blocked,ms_blocked,20,3919.5,4286,2724,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1742,forced_choice,random,fc_random,20,4217.5,5665,1884,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
