comparison,n_words,delta,mean_a,mean_b,mean_diff,sd_diff,t_paired,p_paired,ci_low,ci_high,tost_p_low,tost_p_high,equivalent,cohen_d_paired,posthoc_power,r_item
2x2 forced random vs 1A (delta=0.05),654,0.05,0.3342471239260231,0.2903613266078757,0.04388579731814723,0.3025511019177426,3.709489346886476,2.2535211535572604e-4,0.020655024323182558,0.0671165703131119,4.562314249959883e-15,0.30273228339183705,FALSE,0.1535291332346635,0.9750325269705695,0.4786164250537328
2x2 forced random vs 1A (delta=0.08),654,0.08,0.3342471239260231,0.2903613266078757,0.04388579731814723,0.3025511019177426,3.709489346886476,2.2535211535572604e-4,0.020655024323182558,0.0671165703131119,3.9795966552971206e-24,0.0011804651601867156,TRUE,0.1535291332346635,0.9750325269705695,0.4786164250537328
2x2 multi random strict vs 1A (delta=0.05),659,0.05,0.29801647517884233,0.29186432100733034,0.006152154171512036,0.29202612731180216,0.540814352169133,0.5888185736955369,-0.01618493974348599,0.02848924808651006,5.054992581194179e-7,6.36662920978511e-5,TRUE,0.022692845959898216,0.08957694664166505,0.4477392149740132
2x2 multi random broad vs 1A (delta=0.05),659,0.05,0.47490064311005126,0.29186432100733034,0.18303632210272094,0.3008786591496215,15.616676100605261,5.335534229921361e-47,0.16002209755949065,0.20605054664595127,1.5037804458745721e-69,1,FALSE,0.6011615981417019,1,0.5133067419555045
