format,blocking,n_words,median_raters,broad_M,broad_SD,strict_M,strict_SD
Forced choice,Random,736,3,0.32723861283643896,0.3401031658653518,0.32723861283643896,0.3401031658653518
Forced choice,Blocked,734,3,0.40500519008693403,0.3674556579266434,0.40500519008693403,0.3674556579266434
Multi-select,Random,742,3,0.4688807598511102,0.350720420396604,0.28961301501732767,0.31040660835826606
Multi-select,Blocked,733,3,0.5648606509452347,0.35830081879357256,0.24436107321509784,0.30915023475862885
