_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,__v,response,theword,block,subject,study_id,session_id,uni_lemma,word,response_numeric,totcount
683a48939a4a688b481a13d5,14008,survey-multi-choice,9,143600,0,0,shape,pocket,category_organization,NA,NA,NA,pocket,pocket,0,45
683a48939a4a688b481a13d7,6082,survey-multi-choice,10,149684,0,0,shape,puzzle,category_organization,NA,NA,NA,puzzle,puzzle,0,44
683a48939a4a688b481a13d9,5374,survey-multi-choice,11,155059,0,0,shape,shovel,category_organization,NA,NA,NA,shovel,shovel,0,48
683a48939a4a688b481a13db,8986,survey-multi-choice,12,164048,0,0,material,radish,category_organization,NA,NA,NA,radish,radish,1,46
683a48939a4a688b481a13dd,4338,survey-multi-choice,13,168388,0,0,material,sponge,category_organization,NA,NA,NA,sponge,sponge,1,44
683a48a99a4a688b481a13e9,3034,survey-multi-choice,5,34999,0,0,none of these,washing machine,category_organization,NA,NA,NA,washing machine,washing machine,3,8
683a48a99a4a688b481a13eb,5054,survey-multi-choice,4,31961,0,0,none of these,peacock,category_organization,NA,NA,NA,peacock,peacock,3,15
683a48a99a4a688b481a13ef,2799,survey-multi-choice,6,37802,0,0,material,stick,category_organization,NA,NA,NA,stick,stick,1,11
683a48a99a4a688b481a13f1,4120,survey-multi-choice,7,41927,0,0,none of these,tray,category_organization,NA,NA,NA,tray,tray,3,13
683a48a99a4a688b481a13f3,3970,survey-multi-choice,8,45902,0,0,material,coat,category_organization,NA,NA,NA,coat,coat,1,13
683a48a99a4a688b481a13f5,1961,survey-multi-choice,10,52884,0,0,none of these,snail,category_organization,NA,NA,NA,snail,snail,3,8
683a48a99a4a688b481a13f7,5014,survey-multi-choice,9,50920,0,0,material,matches,category_organization,NA,NA,NA,matches,matches,1,10
683a48a99a4a688b481a13f9,1813,survey-multi-choice,11,54700,0,0,none of these,face,category_organization,NA,NA,NA,face,face,3,8
683a48a99a4a688b481a13fb,7227,survey-multi-choice,12,61930,0,0,material,paper,category_organization,NA,NA,NA,paper,paper,1,15
683a48a99a4a688b481a13fd,5122,survey-multi-choice,13,67054,0,0,material,light (object),category_organization,NA,NA,NA,light (object),light (object),1,10
683a48a99a4a688b481a13ff,3840,survey-multi-choice,14,70897,0,0,shape,waves,category_organization,NA,NA,NA,waves,waves,0,10
683a48a99a4a688b481a1401,5465,survey-multi-choice,15,76365,0,0,material,nail (finger),category_organization,NA,NA,NA,nail (finger),nail (finger),1,10
683a48a99a4a688b481a1403,3401,survey-multi-choice,16,79769,0,0,none of these,sheet,category_organization,NA,NA,NA,sheet,sheet,3,10
683a48a99a4a688b481a1405,6574,survey-multi-choice,17,86346,0,0,none of these,vegetable,category_organization,NA,NA,NA,vegetable,vegetable,3,5
683a48a99a4a688b481a1407,1769,survey-multi-choice,18,88118,0,0,none of these,knife,category_organization,NA,NA,NA,knife,knife,3,15
683a48a99a4a688b481a1409,2353,survey-multi-choice,19,90475,0,0,none of these,doll,category_organization,NA,NA,NA,doll,doll,3,9
683a48a99a4a688b481a140b,3042,survey-multi-choice,20,93520,0,0,material,vitamin,category_organization,NA,NA,NA,vitamin,vitamin,1,10
683a48a99a4a688b481a140d,3031,survey-multi-choice,21,96554,0,0,none of these,sled,category_organization,NA,NA,NA,sled,sled,3,12
683a48a99a4a688b481a140f,2535,survey-multi-choice,22,99092,0,0,none of these,bun,category_organization,NA,NA,NA,bun,bun,3,13
683a48a99a4a688b481a1411,2309,survey-multi-choice,23,101404,0,0,color,blood,category_organization,NA,NA,NA,blood,blood,2,10
683a48ae9a4a688b481a141d,4295,survey-multi-choice,5,95467,0,0,material,honey,category_organization,NA,NA,NA,honey,honey,1,9
683a48ae9a4a688b481a141f,9894,survey-multi-choice,4,91171,0,0,none of these,tail,category_organization,NA,NA,NA,tail,tail,3,11
683a48ae9a4a688b481a1423,6863,survey-multi-choice,6,102331,0,0,material,melon,category_organization,NA,NA,NA,melon,melon,1,11
683a48ae9a4a688b481a1425,2738,survey-multi-choice,7,105069,0,0,none of these,kayak,category_organization,NA,NA,NA,kayak,kayak,3,11
683a48ae9a4a688b481a1427,2365,survey-multi-choice,8,107435,0,0,none of these,whale,category_organization,NA,NA,NA,whale,whale,3,12
683a48ae9a4a688b481a1429,5840,survey-multi-choice,10,118755,0,0,none of these,necklace,category_organization,NA,NA,NA,necklace,necklace,3,14
683a48ae9a4a688b481a142b,5478,survey-multi-choice,9,112914,0,0,none of these,vacuum cleaner,category_organization,NA,NA,NA,vacuum cleaner,vacuum cleaner,3,9
683a48ae9a4a688b481a142d,2815,survey-multi-choice,11,121571,0,0,material,peanut butter,category_organization,NA,NA,NA,peanut butter,peanut butter,1,10
683a48ae9a4a688b481a142f,3807,survey-multi-choice,12,125379,0,0,none of these,swallow (animal),category_organization,NA,NA,NA,swallow (animal),swallow (animal),3,9
683a48ae9a4a688b481a1431,2143,survey-multi-choice,15,135123,0,0,none of these,hammer,category_organization,NA,NA,NA,hammer,hammer,3,6
683a48ae9a4a688b481a1433,4367,survey-multi-choice,13,129747,0,0,none of these,swimsuit,category_organization,NA,NA,NA,swimsuit,swimsuit,3,10
683a48ae9a4a688b481a1435,3231,survey-multi-choice,14,132979,0,0,none of these,table,category_organization,NA,NA,NA,table,table,3,9
683a48ae9a4a688b481a1437,2887,survey-multi-choice,16,138010,0,0,none of these,alligator,category_organization,NA,NA,NA,alligator,alligator,3,14
683a48ae9a4a688b481a1439,3144,survey-multi-choice,17,141154,0,0,none of these,computer,category_organization,NA,NA,NA,computer,computer,3,8
683a48ae9a4a688b481a143b,5543,survey-multi-choice,18,146699,0,0,none of these,jeans,category_organization,NA,NA,NA,jeans,jeans,3,11
683a48ae9a4a688b481a143d,2471,survey-multi-choice,19,149171,0,0,none of these,dragon,category_organization,NA,NA,NA,dragon,dragon,3,16
683a48ae9a4a688b481a143f,2607,survey-multi-choice,20,151779,0,0,none of these,coffee table,category_organization,NA,NA,NA,coffee table,coffee table,3,13
683a48ae9a4a688b481a1441,7879,survey-multi-choice,21,159658,0,0,none of these,top,category_organization,NA,NA,NA,top,top,3,12
683a48ae9a4a688b481a1443,2343,survey-multi-choice,22,162002,0,0,material,crayon,category_organization,NA,NA,NA,crayon,crayon,1,13
683a48ae9a4a688b481a1447,2367,survey-multi-choice,23,164371,0,0,material,yogurt,category_organization,NA,NA,NA,yogurt,yogurt,1,10
683a48b79a4a688b481a1453,3151,survey-multi-choice,5,42015,0,0,material,wood,category_organization,NA,NA,NA,wood,wood,1,11
