model,post_mean,post_sd,ci_low,ci_high,p_negative,rope_low,rope_high,pct_in_rope,pct_below_rope,max_rhat_b
cross-linguistic (primary),-0.27895145443853997,0.11175052089584468,-0.49699792513190755,-0.06061564675945966,0.9933333333333333,-0.3290469533352444,0.3290469533352444,0.6709166666666667,0.32908333333333334,1.0008458785541163
English (American) only,-0.4008934881974467,0.17111534950955587,-0.7389853559410656,-0.05781936794012854,0.9901666666666666,-0.3290469533352444,0.3290469533352444,0.336,0.6639166666666667,1.0002794809305717
