theword,block,response,totcount,eng_response,proportion
잠옷,category_organization,물질,4,substance,1
잠옷,category_organization,물질,4,substance,1
잠옷,category_organization,물질,4,substance,1
잠옷,category_organization,물질,4,substance,1
잠옷,count_mass,셀 수 있다,1,countable,1
잠옷,solidity,고형물,1,solid,1
장갑,category_organization,형태,4,form,1
장갑,category_organization,형태,4,form,1
장갑,category_organization,형태,4,form,1
장갑,category_organization,형태,4,form,1
장갑,count_mass,셀 수 있다,1,countable,1
장난감,category_organization,물질,3,substance,0.6666666666666666
장난감,category_organization,물질,3,substance,0.6666666666666666
장난감,category_organization,형태,3,form,0.3333333333333333
