Submission id,Participant id,Status,Age,Sex
SESS1059,P0445,APPROVED,51,Female
SESS1060,P0918,APPROVED,36,Female
SESS1061,P0944,APPROVED,25,Female
SESS1062,P1138,APPROVED,26,Female
SESS1063,P1315,APPROVED,25,Female
SESS1064,P0850,APPROVED,29,Female
SESS1065,P0591,APPROVED,34,Female
SESS1066,P1112,APPROVED,64,Male
SESS1067,P1467,APPROVED,49,Female
SESS1068,P1465,APPROVED,56,Male
SESS1069,P1464,APPROVED,33,Male
SESS1070,P1470,APPROVED,38,Female
SESS1084,P1471,APPROVED,33,Female
SESS1085,P1463,APPROVED,39,Male
SESS1086,P1474,APPROVED,28,Female
SESS1087,P1466,APPROVED,32,Female
SESS1088,P0585,APPROVED,32,Female
SESS1089,P1475,APPROVED,43,Female
SESS1091,P1135,APPROVED,36,Male
SESS1092,P1478,APPROVED,43,Female
SESS1093,P1480,APPROVED,31,Female
SESS1094,P1482,APPROVED,27,Male
SESS1095,P1481,APPROVED,45,Female
SESS1096,P1469,APPROVED,44,Female
SESS1097,P1473,APPROVED,19,Male
SESS1098,P1472,APPROVED,19,Male
SESS1099,P1483,APPROVED,26,Female
SESS1100,P1468,APPROVED,33,Male
SESS1101,P1484,APPROVED,38,Male
SESS1102,P1479,APPROVED,44,Female
SESS1103,P1490,APPROVED,29,Female
SESS1104,P1488,APPROVED,64,Male
SESS1105,P1486,APPROVED,38,Male
SESS1106,P1487,APPROVED,27,Male
SESS1107,P1489,APPROVED,44,Female
SESS1108,P1485,APPROVED,36,Male
SESS1090,P1477,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
